interaction_name	ligand_type	interaction_type	lig_contributor	lig_contributor_group	lig_contributor_coeff	target_subunit	target_subunit_group	target_subunit_coeff
Glu_Kainate_1_4_complex	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRIK1-GRIK4	1-2	1-1
Glu_Kainate_1_5_complex	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRIK1-GRIK5	1-2	1-1
Glu_Kainate_2_4_complex	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRIK2-GRIK4	1-2	1-1
Glu_Kainate_2_5_complex	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRIK2-GRIK5	1-2	1-1
Glu_Kainate_3_4_complex	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRIK3-GRIK4	1-2	1-1
Glu_Kainate_3_5_complex	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRIK3-GRIK5	1-2	1-1
Glu_NMDA_1_2A_complex	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRIN1-GRIN2A	1-2	1-1
Glu_NMDA_1_2B_complex	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRIN1-GRIN2B	1-2	1-1
Glu_NMDA_1_2C_complex	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRIN1-GRIN2C	1-2	1-1
Glu_NMDA_1_2D_complex	Neurotransmitter	ligand-receptor	GLS-SLC17A6-SLC17A7-SLC17A8	1-2-2-2	1-1	GRIN1-GRIN2D	1-2	1-1
