Source,Receiver,Ligand,Target
Inhibitory VIP neurons,Microglial cells,NRXN1,NLGN1
Microglial cells,Microglial cells,NRXN1,NLGN1
Oligodendrocyte progenitor cells,Microglial cells,NRXN1,NLGN1
Oligodendrocytes,Microglial cells,NRXN1,NLGN1
Excitatory Layer 2-3 IT neurons I,Microglial cells,NRXN2,NLGN1
Excitatory Layer 2-3 IT neurons II,Microglial cells,NRXN2,NLGN1
Excitatory Layer 3-4 IT neurons,Microglial cells,NRXN2,NLGN1
Excitatory Layer 3-6 IT neurons,Microglial cells,NRXN2,NLGN1
Excitatory Layer 5-6 CT and NP neurons,Microglial cells,NRXN2,NLGN1
Excitatory Layer 5-6 IT neurons I,Microglial cells,NRXN2,NLGN1
Excitatory Layer 5-6 IT neurons II,Microglial cells,NRXN2,NLGN1
Inhibitory LAMP5 neurons,Microglial cells,NRXN2,NLGN1
Inhibitory PVALB neurons,Microglial cells,NRXN2,NLGN1
Inhibitory SST neurons,Microglial cells,NRXN2,NLGN1
Inhibitory VIP neurons,Microglial cells,NRXN2,NLGN1
Oligodendrocyte progenitor cells,Microglial cells,NRXN2,NLGN1
Astrocytes,Microglial cells,NRXN3,NLGN1
Endothelial and mural cells,Microglial cells,NRXN3,NLGN1
Excitatory Layer 2-3 IT neurons I,Microglial cells,NRXN3,NLGN1
Excitatory Layer 2-3 IT neurons II,Microglial cells,NRXN3,NLGN1
Excitatory Layer 3-4 IT neurons,Microglial cells,NRXN3,NLGN1
Excitatory Layer 3-6 IT neurons,Microglial cells,NRXN3,NLGN1
Excitatory Layer 5-6 CT and NP neurons,Microglial cells,NRXN3,NLGN1
Excitatory Layer 5-6 IT neurons I,Microglial cells,NRXN3,NLGN1
Excitatory Layer 5-6 IT neurons II,Microglial cells,NRXN3,NLGN1
Inhibitory LAMP5 neurons,Microglial cells,NRXN3,NLGN1
Inhibitory PVALB neurons,Microglial cells,NRXN3,NLGN1
Inhibitory SST neurons,Microglial cells,NRXN3,NLGN1
Inhibitory VIP neurons,Microglial cells,NRXN3,NLGN1
Microglial cells,Microglial cells,NRXN3,NLGN1
Oligodendrocyte progenitor cells,Microglial cells,NRXN3,NLGN1
Oligodendrocytes,Microglial cells,NRXN3,NLGN1
