Source,Receiver,Ligand,Target
Excitatory Layer 3-4 IT neurons,Excitatory Layer 2-3 IT neurons I,ADCYAP1,VIPR1
Inhibitory PVALB neurons,Excitatory Layer 5-6 CT and NP neurons,GABA,GABA-A_a5b3g2S_complex
Inhibitory VIP neurons,Excitatory Layer 5-6 CT and NP neurons,GABA,GABA-A_a5b3g2S_complex
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 5-6 IT neurons II,Glu,GRM7
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 5-6 IT neurons II,Glu,GRM7
Excitatory Layer 3-4 IT neurons,Excitatory Layer 5-6 IT neurons II,Glu,GRM7
Excitatory Layer 3-6 IT neurons,Excitatory Layer 5-6 IT neurons II,Glu,GRM7
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 5-6 IT neurons II,Glu,GRM7
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 5-6 IT neurons II,Glu,GRM7
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 5-6 IT neurons II,Glu,GRM7
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 3-4 IT neurons,Glu,GRIA4
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 3-4 IT neurons,Glu,GRIA4
Excitatory Layer 3-4 IT neurons,Excitatory Layer 3-4 IT neurons,Glu,GRIA4
Excitatory Layer 3-6 IT neurons,Excitatory Layer 3-4 IT neurons,Glu,GRIA4
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 3-4 IT neurons,Glu,GRIA4
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 3-4 IT neurons,Glu,GRIA4
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 3-4 IT neurons,Glu,GRIA4
Inhibitory PVALB neurons,Excitatory Layer 2-3 IT neurons I,GABA,GABBR2
Inhibitory VIP neurons,Excitatory Layer 2-3 IT neurons I,GABA,GABBR2
Inhibitory VIP neurons,Endothelial and mural cells,PTHLH,PTH1R
Inhibitory PVALB neurons,Inhibitory SST neurons,GABA,GABA-A_a1b2g2S_complex
Inhibitory VIP neurons,Inhibitory SST neurons,GABA,GABA-A_a1b2g2S_complex
Endothelial and mural cells,Endothelial and mural cells,GJC1,GJC1
Endothelial and mural cells,Excitatory Layer 5-6 IT neurons I,GJC1,GJC1
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 3-4 IT neurons,Glu,GRIA3
